price,created_on,operation,property_type
2500.0,2015-01-05,rent,store
22000.0,2015-01-05,rent,store
3200.0,2015-01-05,rent,apartment
2300.0,2015-01-22,rent,apartment
3900.0,2015-01-20,rent,house
4500.0,2015-01-27,rent,apartment
3500.0,2015-01-30,rent,apartment
3500.0,2015-01-30,rent,apartment
6000.0,2015-01-03,rent,house
2800.0,2015-01-03,rent,apartment
2500.0,2015-01-30,rent,apartment
2600.0,2015-01-30,rent,apartment
4500.0,2015-01-30,rent,apartment
2500.0,2015-01-30,rent,apartment
3800.0,2015-01-03,rent,apartment
2500.0,2015-01-18,rent,store
8000.0,2015-01-15,rent,apartment
18000.0,2015-01-06,rent,store
2800.0,2015-01-03,rent,store
16000.0,2015-01-01,rent,store
4000.0,2015-01-30,rent,apartment
17000.0,2015-01-30,rent,house
65000.0,2015-01-30,rent,house
50000.0,2015-01-30,rent,house
20000.0,2015-01-30,rent,house
13000.0,2015-01-30,rent,apartment
28000.0,2015-01-30,rent,house
17500.0,2015-01-30,rent,house
35000.0,2015-01-30,rent,house
10500.0,2015-01-30,rent,apartment
650.0,2015-01-30,rent,apartment
25000.0,2015-01-30,rent,house
15000.0,2015-01-30,rent,apartment
18000.0,2015-01-30,rent,house
35000.0,2015-01-30,rent,house
18000.0,2015-01-30,rent,house
4000.0,2015-01-09,rent,PH
4500.0,2015-01-09,rent,PH
6000.0,2015-01-26,rent,apartment
38000.0,2015-01-23,rent,store
65000.0,2015-01-23,rent,store
19000.0,2015-01-11,rent,store
1850.0,2015-01-11,rent,apartment
5000.0,2015-01-20,rent,apartment
550.0,2015-01-27,rent,apartment
9000.0,2015-01-01,rent,house
28000.0,2015-01-06,rent,apartment
55000.0,2015-01-02,rent,house
39000.0,2015-01-21,rent,house
1111.0,2015-01-24,rent,apartment
18000.0,2015-01-21,rent,apartment
5900.0,2015-01-05,rent,house
13500.0,2015-01-01,rent,apartment
48000.0,2015-01-01,rent,house
13500.0,2015-01-01,rent,apartment
20000.0,2015-01-21,rent,apartment
800.0,2015-01-21,rent,apartment
95000.0,2015-01-21,rent,house
13000.0,2015-01-21,rent,apartment
16500.0,2015-01-01,rent,apartment
48000.0,2015-01-02,rent,house
18000.0,2015-01-01,rent,apartment
65000.0,2015-01-01,rent,apartment
13500.0,2015-01-01,rent,apartment
16500.0,2015-01-01,rent,apartment
70000.0,2015-01-01,rent,house
4500.0,2015-01-21,rent,store
16500.0,2015-01-01,rent,apartment
30000.0,2015-01-21,rent,house
10000.0,2015-01-11,rent,apartment
16500.0,2015-01-01,rent,apartment
13200.0,2015-01-01,rent,apartment
100000.0,2015-01-01,rent,house
50000.0,2015-01-21,rent,house
9000.0,2015-01-01,rent,house
3000.0,2015-01-14,rent,apartment
3200.0,2015-01-17,rent,apartment
12000.0,2015-01-11,rent,store
3000.0,2015-01-03,rent,store
4200.0,2015-01-03,rent,store
12000.0,2015-01-14,rent,apartment
25000.0,2015-01-21,rent,house
5900.0,2015-01-19,rent,apartment
900.0,2015-01-05,rent,apartment
12000.0,2015-01-21,rent,apartment
5400.0,2015-01-27,rent,apartment
12000.0,2015-01-21,rent,apartment
4500.0,2015-01-05,rent,apartment
2500.0,2015-01-13,rent,apartment
4200.0,2015-01-05,rent,house
1800.0,2015-01-20,rent,apartment
4500.0,2015-01-03,rent,store
3000.0,2015-01-06,rent,house
2500.0,2015-01-14,rent,apartment
3800.0,2015-01-22,rent,apartment
2600.0,2015-01-20,rent,apartment
3400.0,2015-01-01,rent,apartment
2950.0,2015-01-01,rent,apartment
4500.0,2015-01-28,rent,apartment
3400.0,2015-01-01,rent,apartment
100000.0,2015-01-26,rent,apartment
3500.0,2015-01-07,rent,apartment
25000.0,2015-01-22,rent,store
17000.0,2015-01-11,rent,apartment
4200.0,2015-01-23,rent,house
6500.0,2015-01-23,rent,store
5300.0,2015-01-02,rent,apartment
18000.0,2015-01-06,rent,store
9000.0,2015-01-28,rent,apartment
1290.0,2015-01-21,rent,PH
3800.0,2015-01-23,rent,apartment
2200.0,2015-01-11,rent,apartment
3600.0,2015-01-21,rent,apartment
1300.0,2015-01-09,rent,apartment
12000.0,2015-01-11,rent,house
4500.0,2015-01-28,rent,apartment
1100.0,2015-01-20,rent,house
2900.0,2015-01-08,rent,apartment
8000.0,2015-01-18,rent,apartment
2800.0,2015-01-01,rent,apartment
8000.0,2015-01-16,rent,apartment
10000.0,2015-01-09,rent,store
950.0,2015-01-01,rent,apartment
900.0,2015-01-01,rent,apartment
2800.0,2015-01-21,rent,apartment
3600.0,2015-01-21,rent,apartment
750.0,2015-01-01,rent,apartment
6000.0,2015-01-15,rent,apartment
2500.0,2015-01-03,rent,apartment
3000.0,2015-01-06,rent,PH
25000.0,2015-01-12,rent,store
800.0,2015-01-14,rent,apartment
5450.0,2015-01-21,rent,apartment
10500.0,2015-01-06,rent,apartment
690.0,2015-01-01,rent,apartment
550.0,2015-01-01,rent,apartment
6000.0,2015-01-11,rent,store
1100.0,2015-01-20,rent,house
40000.0,2015-01-01,rent,store
8000.0,2015-01-21,rent,apartment
6000.0,2015-01-11,rent,store
1300.0,2015-01-12,rent,apartment
3000.0,2015-01-21,rent,apartment
550.0,2015-01-11,rent,apartment
1100.0,2015-01-21,rent,apartment
750.0,2015-01-06,rent,apartment
9500.0,2015-01-11,rent,store
800.0,2015-01-30,rent,apartment
3000.0,2015-01-21,rent,apartment
700.0,2015-01-01,rent,apartment
3600.0,2015-01-21,rent,apartment
6000.0,2015-01-03,rent,apartment
3000.0,2015-01-21,rent,apartment
7500.0,2015-01-21,rent,apartment
3500.0,2015-01-12,rent,apartment
7500.0,2015-01-12,rent,house
7800.0,2015-01-06,rent,apartment
850.0,2015-01-05,rent,apartment
1150.0,2015-01-14,rent,apartment
2800.0,2015-01-21,rent,apartment
4000.0,2015-01-15,rent,apartment
4500.0,2015-01-21,rent,apartment
17000.0,2015-01-01,rent,house
700.0,2015-01-01,rent,house
50000.0,2015-01-24,rent,store
6000.0,2015-01-10,rent,PH
750.0,2015-01-01,rent,apartment
16000.0,2015-01-28,rent,apartment
3500.0,2015-01-15,rent,store
600.0,2015-01-14,rent,house
850.0,2015-01-01,rent,apartment
750.0,2015-01-01,rent,apartment
2500.0,2015-01-01,rent,apartment
500.0,2015-01-01,rent,apartment
750.0,2015-01-11,rent,apartment
3600.0,2015-01-21,rent,apartment
520.0,2015-01-15,rent,apartment
700.0,2015-01-10,rent,apartment
2000.0,2015-01-08,rent,PH
